hour, t(sec), V1, VAngle1, VN, VNAngle, I1, IAngle1, IN, INAngle
0, 1.00000, 2516.77, 33.0217, 2516.77, 33.0217, 67.3794, 179.126, 67.3794, 179.126
0, 0.00000, 2510.45, 32.9255, 2510.45, 32.9255, 67.2101, 179.029, 67.2101, 179.029
0, 0.00000, 2510.45, 32.9255, 2510.45, 32.9255, 67.2101, 179.029, 67.2101, 179.029
0, 0.00101, 2510.36, 32.9246, 2510.36, 32.9246, 67.2078, 179.028, 67.2078, 179.028
0, 0.00101, 2510.36, 32.9246, 2510.36, 32.9246, 67.2078, 179.028, 67.2078, 179.028
0, 0.00201, 2510.38, 32.925, 2510.38, 32.925, 67.2082, 179.029, 67.2082, 179.029
0, 0.00201, 2510.38, 32.925, 2510.38, 32.925, 67.2082, 179.029, 67.2082, 179.029
0, 0.00301, 2510.37, 32.9249, 2510.37, 32.9249, 67.2081, 179.029, 67.2081, 179.029
0, 0.00301, 2510.37, 32.9249, 2510.37, 32.9249, 67.2081, 179.029, 67.2081, 179.029
0, 0.00401, 2510.35, 32.9246, 2510.35, 32.9246, 67.2075, 179.028, 67.2075, 179.028
0, 0.00401, 2510.35, 32.9246, 2510.35, 32.9246, 67.2075, 179.028, 67.2075, 179.028
0, 0.00501, 2510.35, 32.9246, 2510.35, 32.9246, 67.2075, 179.028, 67.2075, 179.028
0, 0.00501, 2510.35, 32.9246, 2510.35, 32.9246, 67.2075, 179.028, 67.2075, 179.028
0, 0.00601, 2510.35, 32.9246, 2510.35, 32.9246, 67.2075, 179.028, 67.2075, 179.028
0, 0.00601, 2510.35, 32.9246, 2510.35, 32.9246, 67.2075, 179.028, 67.2075, 179.028
0, 0.00701, 2510.35, 32.9246, 2510.35, 32.9246, 67.2075, 179.028, 67.2075, 179.028
0, 0.00701, 2510.35, 32.9246, 2510.35, 32.9246, 67.2075, 179.028, 67.2075, 179.028
0, 0.00801, 2510.3, 32.9239, 2510.3, 32.9239, 67.2062, 179.028, 67.2062, 179.028
0, 0.00801, 2510.3, 32.9239, 2510.3, 32.9239, 67.2062, 179.028, 67.2062, 179.028
0, 0.00901, 2510.31, 32.9239, 2510.31, 32.9239, 67.2063, 179.028, 67.2063, 179.028
0, 0.00901, 2510.31, 32.9239, 2510.31, 32.9239, 67.2063, 179.028, 67.2063, 179.028
0, 0.01001, 2510.31, 32.9239, 2510.31, 32.9239, 67.2063, 179.028, 67.2063, 179.028
0, 0.01001, 2510.31, 32.9239, 2510.31, 32.9239, 67.2063, 179.028, 67.2063, 179.028
0, 0.01101, 2510.31, 32.9239, 2510.31, 32.9239, 67.2063, 179.028, 67.2063, 179.028
0, 0.01101, 2510.31, 32.9239, 2510.31, 32.9239, 67.2063, 179.028, 67.2063, 179.028
0, 0.01201, 2510.27, 32.9234, 2510.27, 32.9234, 67.2053, 179.027, 67.2053, 179.027
0, 0.01201, 2510.27, 32.9234, 2510.27, 32.9234, 67.2053, 179.027, 67.2053, 179.027
0, 0.01301, 2510.27, 32.9234, 2510.27, 32.9234, 67.2053, 179.027, 67.2053, 179.027
0, 0.01301, 2510.27, 32.9234, 2510.27, 32.9234, 67.2053, 179.027, 67.2053, 179.027
0, 0.01401, 2510.27, 32.9234, 2510.27, 32.9234, 67.2053, 179.027, 67.2053, 179.027
0, 0.01401, 2510.27, 32.9234, 2510.27, 32.9234, 67.2053, 179.027, 67.2053, 179.027
0, 0.01501, 2510.27, 32.9234, 2510.27, 32.9234, 67.2053, 179.027, 67.2053, 179.027
0, 0.01501, 2510.27, 32.9234, 2510.27, 32.9234, 67.2053, 179.027, 67.2053, 179.027
0, 0.01601, 2510.24, 32.923, 2510.24, 32.923, 67.2045, 179.027, 67.2045, 179.027
0, 0.01601, 2510.24, 32.923, 2510.24, 32.923, 67.2045, 179.027, 67.2045, 179.027
0, 0.01701, 2510.24, 32.923, 2510.24, 32.923, 67.2046, 179.027, 67.2046, 179.027
0, 0.01701, 2510.24, 32.923, 2510.24, 32.923, 67.2046, 179.027, 67.2046, 179.027
0, 0.01801, 2510.24, 32.9229, 2510.24, 32.9229, 67.2046, 179.027, 67.2046, 179.027
0, 0.01801, 2510.24, 32.9229, 2510.24, 32.9229, 67.2046, 179.027, 67.2046, 179.027
0, 0.01901, 2510.24, 32.9229, 2510.24, 32.9229, 67.2046, 179.027, 67.2046, 179.027
0, 0.01901, 2510.24, 32.9229, 2510.24, 32.9229, 67.2046, 179.027, 67.2046, 179.027
0, 0.02001, 2510.22, 32.9226, 2510.22, 32.9226, 67.2039, 179.026, 67.2039, 179.026
0, 0.02001, 2510.22, 32.9226, 2510.22, 32.9226, 67.2039, 179.026, 67.2039, 179.026
